OBJECTID,HAMILTON_3525005_C00000,TOTAL_FEMALE,TOTAL_MALE,TOTAL_SEX
156,            Tahltan languages,0,0,0
157,              Kaska (Nahani),0,0,0
158,              Tahltan,0,0,0
159,            Tutchone languages,0,0,0
160,              Northern Tutchone,0,0,0
161,              Southern Tutchone,0,0,0
162,"          Athabaskan languages, n.i.e.",0,0,0
163,        Haida,0,0,0
164,        Inuit languages,0,5,0
165,          Inuinnaqtun (Inuvialuktun),0,0,0
166,          Inuktitut,0,5,0
167,"          Inuit languages, n.i.e.",0,5,0
168,        Iroquoian languages,10,15,25
169,          Cayuga,0,10,15
170,          Mohawk,0,10,10
171,          Oneida,0,0,0
172,"          Iroquoian languages, n.i.e.",0,0,0
173,        Kutenai,0,0,0
174,        Michif,0,0,0
175,        Salish languages,0,0,0
176,          Comox,0,0,0
177,          Halkomelem,0,0,0
178,          Lillooet,0,0,0
179,          Okanagan,0,0,0
180,          Shuswap (Secwepemctsin),0,0,0
181,          Squamish,0,0,0
182,          Straits,0,0,0
183,          Thompson (Ntlakapamux),0,0,0
184,"          Salish languages, n.i.e.",0,0,0
185,        Siouan languages,0,5,5
186,          Dakota,0,0,5
187,          Stoney,0,0,0
188,"          Siouan languages, n.i.e.",0,0,0
189,        Tlingit,0,0,0
190,        Tsimshian languages,0,0,0
191,          Gitxsan (Gitksan),0,0,0
192,          Nisga'a,0,0,0
193,          Tsimshian,0,0,0
194,        Wakashan languages,0,0,0
195,          Haisla,0,0,0
196,          Heiltsuk,0,0,0
197,          Kwakiutl (Kwak'wala),0,0,0
198,          Nuu-chah-nulth (Nootka),0,0,0
199,"          Wakashan languages, n.i.e.",0,0,0
200,"        Aboriginal languages, n.o.s.",5,5,5
201,      Non-Aboriginal languages,63995,58465,122460
202,        Afro-Asiatic languages,6295,6545,12835
203,          Berber languages,5,10,15
204,            Kabyle,0,0,0
205,"            Berber languages, n.i.e.",0,10,15
206,          Cushitic languages,555,490,1040
207,            Bilen,0,0,0
208,            Oromo,20,25,40
209,            Somali,530,465,995
210,"            Cushitic languages, n.i.e.",0,0,0
211,          Semitic languages,5715,6020,11735
212,            Amharic,105,95,195
213,            Arabic,4120,4465,8585
214,            Assyrian Neo-Aramaic,1135,1090,2225
215,            Chaldean Neo-Aramaic,105,115,215
216,            Harari,5,0,5
217,            Hebrew,65,85,145
218,            Maltese,60,65,125
219,            Tigrigna,70,60,130
220,"            Semitic languages, n.i.e.",65,50,115
221,"          Afro-Asiatic languages, n.i.e.",25,20,50
222,        Austro-Asiatic languages,2120,1865,3980
223,          Khmer (Cambodian),440,370,810
224,          Vietnamese,1680,1490,3170
225,"          Austro-Asiatic languages, n.i.e",0,0,0
226,        Austronesian languages,3045,1965,5010
227,          Bikol,15,5,25
228,          Cebuano,110,80,190
229,          Fijian,5,0,5
230,          Hiligaynon,25,10,40
231,          Ilocano,175,125,305
232,          Malagasy,0,0,0
233,          Malay,70,40,110
234,"          Pampangan (Kapampangan, Pampango)",15,10,30
235,          Pangasinan,0,5,10
236,"          Tagalog (Pilipino, Filipino)",2580,1665,4245
237,          Waray-Waray,5,0,10
238,"          Austronesian languages, n.i.e.",30,20,45
239,        Creole languages,155,135,295
240,          Haitian Creole,15,10,25
241,"          Creole, n.o.s.",90,80,170
242,"          Creole languages, n.i.e.",50,45,100
243,        Dravidian languages,655,625,1280
244,          Kannada,25,25,50
245,          Malayalam,335,320,660
246,          Tamil,250,220,470
247,          Telugu,45,60,100
248,"          Dravidian languages, n.i.e.",5,0,0
249,        Hmong-Mien languages,0,0,0
250,        Indo-European languages,43700,40170,83865
251,          Albanian,630,645,1275
252,          Armenian,140,135,270
253,          Balto-Slavic languages,13580,11645,25230
254,            Baltic languages,410,285,695
255,              Latvian,170,115,290
256,              Lithuanian,235,170,405
257,            Slavic languages,13175,11365,24540
258,              Belarusan,5,0,5
259,              Bosnian,470,465,940
260,              Bulgarian,75,60,135
261,              Croatian,2425,2260,4685
262,              Czech,515,425,940
263,              Macedonian,250,235,480
264,              Polish,4075,3205,7280
265,              Russian,825,640,1465
266,              Serbian,2730,2735,5465
267,              Serbo-Croatian,195,180,375
268,              Slovak,250,200,455
269,              Slovene (Slovenian),315,245,560
270,              Ukrainian,990,660,1650
271,"              Slavic languages, n.i.e.",50,55,105
272,          Celtic languages,25,15,35
273,            Scottish Gaelic,10,10,15
274,            Welsh,10,5,10
275,"            Celtic languages, n.i.e.",5,0,5
276,          Germanic languages,3885,3135,7025
277,            Afrikaans,70,65,135
278,            Danish,90,75,160
279,            Dutch,1450,1215,2665
280,            Frisian,40,35,70
281,            German,2165,1665,3825
282,            Icelandic,5,0,5
283,            Norwegian,10,5,15
284,            Swedish,30,25,50
285,            Vlaams (Flemish),25,30,55
286,            Yiddish,10,20,30
287,"            Germanic languages, n.i.e.",0,0,5
288,          Greek,770,835,1600
289,          Indo-Iranian languages,8000,8280,16280
290,            Indo-Aryan languages,6095,6350,12440
291,              Bengali,585,580,1170
292,              Gujarati,635,780,1415
293,              Hindi,440,520,965
294,              Kashmiri,5,0,10
295,              Konkani,25,25,50
296,              Marathi,30,35,60
297,              Nepali,80,100,185
298,              Oriya (Odia),0,5,5
299,              Punjabi (Panjabi),2255,2325,4580
300,              Sindhi,50,50,95
301,              Sinhala (Sinhalese),125,110,230
302,              Urdu,1865,1810,3675
303,            Iranian languages,1885,1895,3780
304,              Kurdish,495,540,1035
305,              Pashto,115,130,245
306,              Persian (Farsi),1275,1225,2500
307,"            Indo-Iranian languages, n.i.e.",25,35,60
308,          Italic (Romance) languages,16665,15485,32145
309,            Catalan,5,5,15
310,            Italian,8010,7365,15380
311,            Portuguese,3670,3600,7270
312,            Romanian,905,830,1730
313,            Spanish,4055,3665,7720
314,"            Italic (Romance) languages, n.i.e.",10,15,25
315,        Japanese,180,80,265
316,        Kartvelian languages,10,5,15
317,          Georgian,10,5,15
318,        Korean,740,640,1380
319,        Mongolic languages,0,0,0
320,          Mongolian,0,0,0
321,        Niger-Congo languages,745,620,1365
322,          Akan (Twi),105,90,200
323,          Bamanankan,0,0,0
324,          Edo,10,10,15
325,          Ewe,20,10,30
326,"          Fulah (Pular, Pulaar, Fulfulde)",5,5,5
327,          Ga,10,15,25
328,          Ganda,15,20,30
329,          Igbo,30,30,65
330,          Lingala,15,10,30
331,          Rundi (Kirundi),30,25,55
332,          Kinyarwanda (Rwanda),35,35,75
333,          Shona,95,75,175
334,          Swahili,175,140,315
335,          Wolof,0,0,5
336,          Yoruba,35,50,85
337,"          Niger-Congo languages, n.i.e.",145,115,260
338,        Nilo-Saharan languages,65,65,130
339,          Dinka,5,10,15
340,"          Nilo-Saharan languages, n.i.e.",55,60,115
341,        Sign languages,60,50,115
342,          American Sign Language,20,15,40
343,          Quebec Sign Language,0,0,0
344,"          Sign languages, n.i.e",35,35,75
345,        Sino-Tibetan languages,4165,3915,8090
346,          Chinese languages,4010,3745,7755
347,            Cantonese,1450,1325,2775
348,            Hakka,20,15,35
349,            Mandarin,2235,2115,4350
350,            Min Dong,0,0,5
351,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",90,85,175
352,            Wu (Shanghainese),35,30,65
353,"            Chinese, n.o.s.",175,165,340
354,"            Chinese languages, n.i.e.",5,5,0
355,          Tibeto-Burman languages,155,175,335
356,            Burmese,35,35,70
357,            Karenic languages,120,135,250
358,            Tibetan,0,0,0
359,"            Tibeto-Burman languages, n.i.e.",5,5,15
360,        Tai-Kadai languages,260,230,490
361,          Lao,150,155,305
362,          Thai,110,75,185
363,"          Tai-Kadai languages, n.i.e",5,0,0
364,        Turkic languages,330,350,685
365,          Azerbaijani,15,15,35
366,          Turkish,290,310,605
367,          Uyghur,0,5,5
368,          Uzbek,0,0,5
369,"          Turkic languages, n.i.e.",15,15,35
370,        Uralic languages,1440,1165,2610
371,          Estonian,80,60,140
372,          Finnish,45,35,85
373,          Hungarian,1315,1070,2390
374,"          Uralic languages, n.i.e.",0,0,0
375,"        Other languages, n.i.e.",30,40,65
376,  Multiple responses,5915,5645,11560
377,    English and French,635,555,1190
378,    English and non-official language,4960,4790,9750
379,    French and non-official language,210,190,400
380,"    English, French and non-official language",115,105,225
381,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,270895,259740,530635
382,  Single responses,257550,247065,504615
383,    Official languages,227175,219590,446760
384,      English,225930,218535,444465
385,      French,1250,1050,2300
386,    Non-official languages,30375,27475,57850
387,      Aboriginal languages,15,10,25
388,        Algonquian languages,5,5,10
389,          Blackfoot,0,0,0
390,          Cree-Montagnais languages,0,0,5
391,            Atikamekw,0,0,0
392,            Montagnais (Innu),0,0,0
393,            Moose Cree,0,0,0
394,            Naskapi,0,0,0
395,            Northern East Cree,0,0,0
396,            Plains Cree,0,0,0
397,            Southern East Cree,0,0,0
398,            Swampy Cree,5,0,0
399,            Woods Cree,0,0,0
400,"            Cree, n.o.s.",0,5,0
401,          Eastern Algonquian languages,0,0,0
402,            Malecite,0,0,0
403,            Mi'kmaq,0,0,0
404,          Ojibway-Potawatomi languages,5,0,5
405,            Algonquin,0,0,0
406,            Ojibway,5,5,5
407,            Oji-Cree,0,0,0
408,            Ottawa (Odawa),0,0,0
409,"          Algonquian languages, n.i.e.",0,0,0
410,        Athabaskan languages,0,0,0
411,          Northern Athabaskan languages,0,0,0
412,            Babine (Wetsuwet'en),0,0,0
413,            Beaver,0,0,0
414,            Carrier,0,0,0
415,            Chilcotin,0,0,0
416,            Dene,0,0,0
417,            Dogrib (Tlicho),0,0,0
418,            Gwich'in,0,0,0
419,            Sarsi (Sarcee),0,0,0
420,            Sekani,0,0,0
421,            Slavey-Hare languages,0,0,0
422,              North Slavey (Hare),0,0,0
423,              South Slavey,0,0,0
424,"              Slavey, n.o.s.",0,0,0
425,            Tahltan languages,0,0,0
426,              Kaska (Nahani),0,0,0
427,              Tahltan,0,0,0
428,            Tutchone languages,0,0,0
429,              Northern Tutchone,0,0,0
430,              Southern Tutchone,0,0,0
431,"          Athabaskan languages, n.i.e.",0,0,0
432,        Haida,0,0,0
433,        Inuit languages,0,0,0
434,          Inuinnaqtun (Inuvialuktun),0,0,0
435,          Inuktitut,0,0,0
436,"          Inuit languages, n.i.e.",0,0,0
437,        Iroquoian languages,5,0,5
438,          Cayuga,5,0,5
439,          Mohawk,0,0,5
440,          Oneida,0,0,0
441,"          Iroquoian languages, n.i.e.",0,0,0
442,        Kutenai,0,0,0
443,        Michif,0,0,0
444,        Salish languages,0,0,0
445,          Comox,0,0,0
446,          Halkomelem,0,0,0
447,          Lillooet,0,0,0
448,          Okanagan,0,0,0
449,          Shuswap (Secwepemctsin),0,0,0
450,          Squamish,0,0,0
451,          Straits,0,0,0
452,          Thompson (Ntlakapamux),0,0,0
453,"          Salish languages, n.i.e.",0,0,0
454,        Siouan languages,0,0,0
455,          Dakota,0,0,0
456,          Stoney,0,0,0
457,"          Siouan languages, n.i.e.",0,0,0
458,        Tlingit,0,0,0
459,        Tsimshian languages,0,0,0
460,          Gitxsan (Gitksan),0,0,0
461,          Nisga'a,0,0,0
462,          Tsimshian,0,0,0
463,        Wakashan languages,0,0,0
464,          Haisla,0,0,0
465,          Heiltsuk,0,0,0
466,          Kwakiutl (Kwak'wala),0,0,0
467,          Nuu-chah-nulth (Nootka),0,0,0
468,"          Wakashan languages, n.i.e.",0,0,0
469,"        Aboriginal languages, n.o.s.",0,0,5
470,      Non-Aboriginal languages,30365,27465,57830
471,        Afro-Asiatic languages,3930,3880,7810
472,          Berber languages,0,10,10
473,            Kabyle,0,0,0
474,"            Berber languages, n.i.e.",0,10,10
475,          Cushitic languages,380,320,705
476,            Bilen,0,0,0
477,            Oromo,20,15,30
478,            Somali,360,310,670
479,"            Cushitic languages, n.i.e.",0,0,0
480,          Semitic languages,3535,3535,7070
481,            Amharic,30,25,60
482,            Arabic,2605,2605,5210
483,            Assyrian Neo-Aramaic,720,715,1435
484,            Chaldean Neo-Aramaic,70,75,145
485,            Harari,0,0,0
486,            Hebrew,40,30,70
487,            Maltese,10,10,15
488,            Tigrigna,30,35,60
489,"            Semitic languages, n.i.e.",30,35,70
490,"          Afro-Asiatic languages, n.i.e.",15,15,30
491,        Austro-Asiatic languages,1365,1200,2560
492,          Khmer (Cambodian),260,200,455
493,          Vietnamese,1105,1005,2110
494,"          Austro-Asiatic languages, n.i.e",0,0,0
495,        Austronesian languages,1205,965,2165
496,          Bikol,5,0,5
497,          Cebuano,40,40,80
498,          Fijian,5,5,0
499,          Hiligaynon,0,5,5
500,          Ilocano,75,60,135
501,          Malagasy,0,0,0
502,          Malay,10,15,25
503,"          Pampangan (Kapampangan, Pampango)",5,5,5
504,          Pangasinan,0,0,0
505,"          Tagalog (Pilipino, Filipino)",1060,835,1900
506,          Waray-Waray,0,0,0
507,"          Austronesian languages, n.i.e.",5,5,5
508,        Creole languages,65,40,105
509,          Haitian Creole,10,5,15
510,"          Creole, n.o.s.",40,25,70
511,"          Creole languages, n.i.e.",15,10,25
512,        Dravidian languages,340,300,640
513,          Kannada,0,5,5
514,          Malayalam,175,150,325
515,          Tamil,135,115,250
516,          Telugu,25,30,55
517,"          Dravidian languages, n.i.e.",0,0,0
518,        Hmong-Mien languages,0,0,0
519,        Indo-European languages,18940,16830,35770
520,          Albanian,360,330,685
521,          Armenian,55,40,95
522,          Balto-Slavic languages,5755,5140,10895
523,            Baltic languages,110,65,175
524,              Latvian,55,30,80
525,              Lithuanian,60,35,100
526,            Slavic languages,5640,5075,10715
527,              Belarusan,0,0,5
528,              Bosnian,255,255,510
529,              Bulgarian,25,15,40
530,              Croatian,995,880,1875
531,              Czech,240,220,455
532,              Macedonian,100,90,190
533,              Polish,1665,1385,3050
534,              Russian,420,375,795
535,              Serbian,1490,1460,2945
536,              Serbo-Croatian,80,85,160
537,              Slovak,50,45,95
538,              Slovene (Slovenian),90,65,155
539,              Ukrainian,230,180,410
540,"              Slavic languages, n.i.e.",10,20,30
541,          Celtic languages,0,0,0
542,            Scottish Gaelic,0,0,0
543,            Welsh,0,0,5
544,"            Celtic languages, n.i.e.",0,0,0
545,          Germanic languages,335,290,620
546,            Afrikaans,30,35,60
547,            Danish,0,0,0
548,            Dutch,50,55,110
549,            Frisian,0,0,5
550,            German,240,195,435
551,            Icelandic,0,0,0
552,            Norwegian,0,0,0
553,            Swedish,0,0,5
554,            Vlaams (Flemish),0,0,0
555,            Yiddish,0,0,0
556,"            Germanic languages, n.i.e.",0,0,0
557,          Greek,320,300,620
558,          Indo-Iranian languages,4955,4915,9870
559,            Indo-Aryan languages,3830,3855,7685
560,              Bengali,385,365,750
561,              Gujarati,380,435,820
562,              Hindi,200,250,455
563,              Kashmiri,0,0,0
564,              Konkani,10,5,15
565,              Marathi,10,10,20
566,              Nepali,75,90,165
567,              Oriya (Odia),0,0,5
568,              Punjabi (Panjabi),1535,1530,3070
569,              Sindhi,25,30,55
570,              Sinhala (Sinhalese),65,65,130
571,              Urdu,1145,1065,2215
572,            Iranian languages,1110,1030,2145
573,              Kurdish,280,280,560
574,              Pashto,70,65,135
575,              Persian (Farsi),760,685,1445
576,"            Indo-Iranian languages, n.i.e.",15,30,40
577,          Italic (Romance) languages,7170,5820,12990
578,            Catalan,0,0,10
579,            Italian,2875,1970,4850
580,            Portuguese,1615,1460,3075
581,            Romanian,430,395,825
582,            Spanish,2240,1990,4225
583,"            Italic (Romance) languages, n.i.e.",5,5,5
584,        Japanese,45,30,75
585,        Kartvelian languages,5,5,10
586,          Georgian,10,5,10
587,        Korean,495,440,930
588,        Mongolic languages,0,0,0
589,          Mongolian,0,0,0
590,        Niger-Congo languages,280,215,490
591,          Akan (Twi),35,35,70
592,          Bamanankan,0,0,0
593,          Edo,0,0,5
594,          Ewe,5,5,0
595,"          Fulah (Pular, Pulaar, Fulfulde)",0,5,0
596,          Ga,5,5,5
597,          Ganda,0,0,5
598,          Igbo,10,5,15
599,          Lingala,10,15,25
600,          Rundi (Kirundi),10,15,20
601,          Kinyarwanda (Rwanda),10,5,20
602,          Shona,45,25,70
603,          Swahili,95,80,175
604,          Wolof,0,0,0
605,          Yoruba,15,10,20
606,"          Niger-Congo languages, n.i.e.",35,15,50
607,        Nilo-Saharan languages,20,20,45
608,          Dinka,0,0,0
609,"          Nilo-Saharan languages, n.i.e.",25,15,40
610,        Sign languages,85,105,190
611,          American Sign Language,30,25,55
612,          Quebec Sign Language,0,0,0
613,"          Sign languages, n.i.e",60,85,135
614,        Sino-Tibetan languages,2815,2745,5555
615,          Chinese languages,2695,2610,5300
616,            Cantonese,940,830,1770
617,            Hakka,10,10,20
618,            Mandarin,1565,1585,3150
619,            Min Dong,0,0,0
620,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",40,45,80
621,            Wu (Shanghainese),15,20,40
622,"            Chinese, n.o.s.",120,115,235
623,"            Chinese languages, n.i.e.",0,0,0
624,          Tibeto-Burman languages,120,135,255
625,            Burmese,30,20,50
626,            Karenic languages,90,100,195
627,            Tibetan,0,0,0
628,"            Tibeto-Burman languages, n.i.e.",5,5,10
629,        Tai-Kadai languages,135,145,280
630,          Lao,85,85,175
631,          Thai,55,55,105
632,"          Tai-Kadai languages, n.i.e",0,0,0
633,        Turkic languages,175,175,355
634,          Azerbaijani,5,5,5
635,          Turkish,170,165,330
636,          Uyghur,0,0,0
637,          Uzbek,0,0,0
638,"          Turkic languages, n.i.e.",5,5,15
639,        Uralic languages,450,360,815
640,          Estonian,15,10,20
641,          Finnish,5,5,5
642,          Hungarian,435,350,785
643,"          Uralic languages, n.i.e.",0,0,0
644,"        Other languages, n.i.e.",15,15,30
645,  Multiple responses,13340,12680,26015
646,    English and French,425,390,815
647,    English and non-official language,12590,12015,24605
648,    French and non-official language,85,80,160
649,"    English, French and non-official language",245,200,440
650,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,270890,259745,530635
651,  None,235210,227300,462505
652,  English,12570,12100,24665
653,  French,2425,1740,4165
654,  Non-official language,20150,18110,38260
655,    Aboriginal,50,50,100
656,    Non-Aboriginal,20100,18060,38160
657,  English and French,105,80,185
658,  English and non-official language,210,230,440
659,  French and non-official language,230,185,415
660,"  English, French and non-official language",0,0,0
661,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,227005,214050,441055
662,  Number of total income recipients aged 15 years and over in private households - 100% data,217290,204965,422250
663,    Median total income in 2015 among recipients ($),28056,39174,32917
664,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,217375,204970,422350
665,    Median after-tax income in 2015 among recipients ($),26142,35276,30175
666,  Number of market income recipients aged 15 years and over in private households - 100% data,187130,184240,371365
667,    Median market income in 2015 among recipients ($),25865,38568,31674
668,  Number of government transfers recipients aged 15 years and over in private households - 100% data,171860,139555,311415
669,    Median government transfers in 2015 among recipients ($),6497,3136,5375
670,  Number of employment income recipients aged 15 years and over in private households - 100% data,147530,159365,306895
671,    Median employment income in 2015 among recipients ($),28993,38437,33209
672,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,227035,214025,441060
673,  Number of total income recipients aged 15 years and over in private households - 25% sample data,217565,204870,422435
674,    Average total income in 2015 among recipients ($),37103,51255,43966
675,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,217640,204890,422525
676,    Average after-tax income in 2015 among recipients ($),32021,41918,36820
677,  Number of market income recipients aged 15 years and over in private households - 25% sample data,187300,184045,371340
678,    Average market income in 2015 among recipients ($),35408,51495,43381
679,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,171580,139420,310995
680,    Average government transfers in 2015 among recipients ($),8396,7339,7922
681,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,147555,159340,306895
682,    Average employment income in 2015 among recipients ($),36815,48918,43099
683,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,227030,214025,441055
684,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,64565,81005,145570
685,    Median employment income in 2015 for full-year full-time workers ($),48308,59430,53880
686,    Average employment income in 2015 for full-year full-time workers ($),54710,69433,62903
687,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,100,100,100
688,  Market income (%),82.2,90.2,86.7
689,    Employment income (%),67,74.9,71.5
690,  Government transfers (%),17.8,9.8,13.3
691,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,227005,214050,441060
692,  Without total income,9715,9090,18805
693,  With total income,217290,204960,422250
694,  Percentage with total income,95.7,95.8,95.7
695,"    Under $10,000 (including loss)",33500,27315,60815
696,"    $10,000 to $19,999",44605,29650,74265
697,"    $20,000 to $29,999",36315,24890,61205
698,"    $30,000 to $39,999",26220,22500,48720
699,"    $40,000 to $49,999",22100,20780,42880
700,"    $50,000 to $59,999",16020,17370,33390
701,"    $60,000 to $69,999",11145,14430,25570
702,"    $70,000 to $79,999",7520,11300,18815
703,"    $80,000 to $89,999",5670,8880,14550
704,"    $90,000 to $99,999",5420,7215,12630
705,"    $100,000 and over",8780,20630,29410
706,"      $100,000 to $149,999",6445,13875,20320
707,"      $150,000 and over",2335,6755,9090
708,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,227005,214050,441055
709,  Without after-tax income,9630,9075,18705
710,  With after-tax income,217380,204975,422355
711,  Percentage with after-tax income,95.8,95.8,95.8
712,"    Under $10,000 (including loss)",34650,27690,62340
713,"    $10,000 to $19,999",46485,30975,77455
714,"    $20,000 to $29,999",41045,29300,70345
715,"    $30,000 to $39,999",30910,27835,58745
716,"    $40,000 to $49,999",23645,24765,48410
717,"    $50,000 to $59,999",14890,19275,34165
718,"    $60,000 to $69,999",9250,14210,23455
719,"    $70,000 to $79,999",7360,10595,17960
720,"    $80,000 and over",9140,20335,29475
